ds_rank,name,pos,team,pos_rank,ds_tier,games,adp,bye,sos,injury,floor,cons_proj,proj,ceil,value
101,R Harvey,RB,DEN,33,8,17.0,82,10.0,0.1,0.36,136.0,154.0,164.0,271.0,18.0
102,J Croskey-Merritt,RB,WAS,34,8,17.0,108,7.0,4.2,0.3,132.0,140.0,163.0,272.0,18.0
103,J Mason,RB,MIN,35,8,17.0,99,6.0,-0.1,0.39,132.0,146.0,163.0,268.0,18.0
104,Q Johnston,WR,LAC,40,8,17.0,97,7.0,-2.6,0.56,157.0,170.0,192.0,270.0,17.0
105,C Hubbard,RB,CAR,36,8,17.0,87,5.0,-6.0,0.36,129.0,152.0,153.0,277.0,17.0
106,J Meyers,WR,JAC,41,8,17.0,118,7.0,4.0,0.37,160.0,168.0,193.0,260.0,16.0
107,J Downs,WR,IND,43,8,17.0,106,13.0,-0.8,0.61,157.0,167.0,190.0,266.0,16.0
108,S Diggs,WR,WAS,42,8,17.0,102,7.0,-2.4,0.31,154.0,167.0,186.0,275.0,16.0
109,T Spears,RB,TEN,37,8,17.0,142,9.0,2.9,0.37,130.0,137.0,159.0,257.0,16.0
110,K Gainwell,RB,TB,39,8,17.0,95,10.0,-2.2,0.31,135.0,157.0,151.0,263.0,16.0
111,B Corum,RB,LAR,38,8,17.0,93,11.0,6.4,0.33,135.0,138.0,148.0,272.0,16.0
112,K Monangai,RB,CHI,40,8,17.0,100,10.0,-3.6,0.0,132.0,144.0,148.0,263.0,16.0
113,T Kelce,TE,KC,10,8,17.0,101,5.0,1.9,0.42,158.0,174.0,183.0,220.0,15.0
114,R White,RB,WAS,41,9,17.0,110,7.0,4.2,0.39,124.0,145.0,145.0,259.0,15.0
115,M Willis,QB,MIA,21,9,17.0,162,6.0,-2.0,0.15,264.0,264.0,275.0,410.0,14.0
116,B Aubrey,K,DAL,1,9,17.0,96,14.0,-3.5,0.08,157.0,175.0,176.0,190.0,14.0
117,W Marks,RB,HOU,42,9,17.0,128,8.0,2.0,0.0,125.0,117.0,139.0,265.0,14.0
118,D Jones,QB,IND,22,9,17.0,182,13.0,1.6,0.36,260.0,261.0,276.0,404.0,13.0
119,X Worthy,WR,KC,44,9,17.0,125,5.0,-2.6,0.35,149.0,156.0,182.0,266.0,13.0
120,A Jones,RB,MIN,43,9,17.0,119,6.0,-0.1,0.65,114.0,150.0,143.0,248.0,13.0
121,R Doubs,WR,NE,45,9,17.0,124,11.0,-2.5,0.37,155.0,163.0,180.0,264.0,12.0
122,K Concepcion,WR,CLE,47,9,17.0,121,11.0,4.3,0.29,148.0,151.0,180.0,265.0,12.0
123,J Jacobs,RB,GB,44,9,9.0,,11.0,-2.2,0.67,36.0,103.0,148.0,200.0,12.0
124,Z Charbonnet,RB,SEA,45,9,10.0,144,11.0,5.6,0.37,71.0,136.0,134.0,213.0,12.0
125,D Moore,WR,UNS,46,9,17.0,408,18.0,,0.0,111.0,6.0,117.0,420.0,12.0
126,M Wilson,WR,ARI,48,9,17.0,83,14.0,-0.8,0.42,150.0,171.0,179.0,263.0,11.0
127,A Pierce,WR,IND,49,9,17.0,91,13.0,-0.8,0.67,149.0,174.0,174.0,269.0,11.0
128,W Robinson,WR,TEN,50,9,17.0,94,9.0,5.0,0.36,154.0,169.0,177.0,258.0,10.0
129,C Dicker,K,LAC,2,9,17.0,130,7.0,-3.1,0.09,151.0,160.0,169.0,181.0,10.0
130,M Lemon,WR,PHI,52,9,17.0,105,10.0,6.6,0.33,144.0,147.0,168.0,279.0,10.0
131,M Golden,WR,GB,51,9,17.0,120,11.0,1.3,0.37,150.0,164.0,167.0,278.0,10.0
132,S Shepard,WR,UNS,53,9,17.0,338,18.0,,0.26,105.0,0.0,131.0,380.0,10.0
133,D Sampson,RB,CLE,46,10,17.0,158,11.0,0.6,0.34,109.0,99.0,125.0,232.0,10.0
134,K Mitchell,RB,LAC,47,10,17.0,150,7.0,0.6,0.33,100.0,88.0,116.0,255.0,10.0
135,C Ward,QB,TEN,23,10,17.0,198,9.0,6.3,0.39,252.0,232.0,263.0,402.0,9.0
136,H Texans,DEF,HOU,1,10,17.0,330,8.0,-4.0,0.0,110.0,110.0,125.0,140.0,9.0
137,C Rodriguez,RB,JAC,48,10,17.0,129,7.0,0.9,0.27,99.0,104.0,108.0,255.0,8.0
138,N Westbrook-Ikhine,WR,UNS,54,10,17.0,721,18.0,,0.0,93.0,27.0,106.0,423.0,8.0
139,C Stroud,QB,HOU,24,10,17.0,180,8.0,4.4,0.29,264.0,262.0,270.0,388.0,7.0
140,G Dortch,WR,UNS,55,10,17.0,462,18.0,,0.18,130.0,36.0,139.0,327.0,7.0
141,D Kincaid,TE,BUF,11,11,17.0,116,7.0,-1.4,0.62,142.0,158.0,161.0,222.0,7.0
142,M Washington Jr.,RB,LVR,49,11,17.0,143,13.0,-3.1,0.21,85.0,88.0,101.0,253.0,7.0
143,K Shakir,WR,BUF,56,11,17.0,139,7.0,0.7,0.35,152.0,160.0,173.0,238.0,6.0
144,J Tyson,WR,NO,58,11,13.0,126,8.0,0.9,0.45,109.0,136.0,171.0,225.0,6.0
145,D Samuel,WR,SF,57,11,17.0,137,8.0,-3.2,0.51,135.0,156.0,164.0,264.0,6.0
146,D Goedert,TE,PHI,12,11,17.0,123,10.0,7.1,0.83,144.0,160.0,164.0,208.0,6.0
147,K Fairbairn,K,HOU,3,11,17.0,132,8.0,0.6,0.0,147.0,166.0,158.0,177.0,6.0
148,D Broncos,DEF,DEN,2,11,17.0,366,10.0,6.2,0.0,104.0,105.0,121.0,135.0,6.0
149,S Seahawks,DEF,SEA,3,11,17.0,140,11.0,-4.2,0.0,103.0,109.0,121.0,133.0,6.0
150,T Allgeier,RB,ARI,50,11,17.0,131,14.0,0.1,0.23,87.0,91.0,107.0,221.0,6.0
151,S Darnold,QB,SEA,27,11,17.0,181,11.0,0.4,0.29,258.0,258.0,261.0,391.0,5.0
152,B Young,QB,CAR,25,11,17.0,199,5.0,-0.8,0.32,245.0,252.0,247.0,396.0,5.0
153,J Brissett,QB,ARI,26,11,13.0,224,14.0,-1.2,0.1,194.0,257.0,247.0,357.0,5.0
154,J Ferguson,TE,DAL,13,11,17.0,113,14.0,-2.5,0.55,148.0,164.0,164.0,199.0,5.0
155,D Stribling,WR,SF,60,11,17.0,115,8.0,-3.2,0.0,136.0,147.0,153.0,276.0,5.0
156,C Little,K,JAC,4,11,17.0,146,7.0,-0.7,0.0,145.0,148.0,151.0,180.0,5.0
157,V Jefferson,WR,UNS,59,11,17.0,568,18.0,,0.22,107.0,5.0,118.0,367.0,5.0
158,P Steelers,DEF,PIT,4,11,17.0,202,9.0,12.2,0.0,106.0,102.0,114.0,136.0,5.0
159,B Robinson Jr.,RB,ATL,51,11,17.0,157,11.0,-3.2,0.36,86.0,83.0,103.0,216.0,5.0
160,M Andrews,TE,BAL,14,11,17.0,127,13.0,3.6,0.36,140.0,159.0,159.0,212.0,4.0
161,C Santos,K,CHI,5,11,17.0,223,10.0,-1.1,0.0,144.0,147.0,153.0,176.0,4.0
162,E Pineiro,K,SF,6,12,17.0,189,8.0,2.0,0.0,144.0,145.0,152.0,173.0,4.0
163,E McPherson,K,CIN,7,12,17.0,194,6.0,0.7,0.0,145.0,149.0,151.0,176.0,4.0
164,B Ravens,DEF,BAL,5,12,17.0,207,13.0,13.1,0.0,106.0,98.0,114.0,134.0,4.0
165,A Kamara,RB,NO,52,12,16.0,153,8.0,1.8,0.39,77.0,99.0,109.0,226.0,4.0
166,T Tracy Jr.,RB,NYG,53,12,17.0,151,8.0,2.2,0.34,67.0,66.0,96.0,225.0,4.0
167,A Rodgers,QB,PIT,28,12,17.0,218,9.0,-2.1,0.53,253.0,219.0,258.0,385.0,3.0
